COUNTRY,Universal_Govt_Funded,Universal_Public_Insurance,Universal_Public_Private_Ins,Non_Universal,Central_South_America,DEATHS_PER_1M_23JUN2022,CONFIRMED_TOTAL_23JUN2022,CONFIRMED_CFR_23JUN2022,TESTS_TOTAL_23JUN2022,TESTS_PER_1M_23JUN2022,CONFIRMED_PER_1M_23JUN2022,DEATHS_TOTAL_23JUN2022,legatumRank2020_PROSPERITY,legatumRank2019_PROSPERITY,pop2022,ceoworldRank_HEALTHCARE_SYSTEM,Fragility_Index,Weak Security Apparatus,Factionalized Elites,Group Grievance,Economy Fragility,Economic Inequality,Human Flight and Brain Drain,Fragile State Legitimacy,Fragile Public Services,Fragile Human Rights,Demographic Pressures,Refugees and IDPs,External Intervention,LN_DEATHS_PER_1M_23JUN2022,LN_CONFIRMED_PER_1M_23JUN2022,Quality_Healthcare_System,LN_POP,stringency_index_mean,population_mean,population_density_mean,median_age_mean,aged_65_older_mean,aged_70_older_mean,gdp_per_capita_mean,total_vaccinations_per_hundred_max,people_vaccinated_per_hundred_max,people_fully_vaccinated_per_hundred_max,LN_POP_DENSITY,LN_GDP_PC,LN_TOTAL_VAX_P100,LN_PEOPLE_VAX_P100,LN_FULLY_VAX_P100,LN_FRAGILITY_INDEX,LN_QUAL_HC_INDEX,LN_STRINGENCY_INDEX,LN_TESTS_PER_1M_23JUN2022,INT_Quality_HC_BY_LN_POP,INT_Quality_HC_BY_TOTAL_VAX,INT_Quality_HC_BY_AGED_70LUS,LN_AGED65,LN_AGED70
Iran**,0,1,0,0,0,1728,7235696,1.95%,52298398,639343,88456,141377,120,119,86022.84,78,84.5,6.9,9.6,9.3,7.6,4.9,5.3,9.2,4.7,9.5,5.5,5.3,6.7,7.454719949,11.39026053,12,11.36236812,64.83,85028760,49.83,32.4,5.44,3.18,19082.62,176.36,75.91,68.05,3.908617212,9.856533252,5.17252736,4.329548428,4.220242729,4.436751534,2.48490665,4.17,13.368,136.35,62.07,38.16,1.69,1.16
Iraq,0,0,0,0,0,656,2335436,1.08%,18713646,486908,60765,25229,137,136,42164.97,87,96.2,7.9,9.6,8.2,6.9,6.1,6.5,8.8,8.9,8.1,8.4,8.3,8.5,6.486160789,11.01476924,3,10.64934506,68.23,41179351,88.13,20,3.19,1.96,15663.99,45.14,26.25,18.43,4.478812997,9.659119726,3.809768771,3.267665989,2.913979772,4.566429358,1.098612289,4.22,13.096,31.95,11.43,5.88,1.16,0.67
Ireland,1,0,0,0,0,1532,1587385,0.47%,12347313,2543999,327059,7437,12,11,5020.2,80,22.2,2.7,1.5,0.5,2.7,1.6,2.8,0.5,2.5,1.6,2.8,1.4,1.6,7.33432935,12.69789586,10,8.521225053,55.39,4982904,69.87,38.7,13.93,8.68,67335.29,220.06,82.07,81.08,4.246636373,11.11743975,5.393900236,4.407572542,4.395436322,3.100092289,2.302585093,4.01,14.749,85.21,53.94,86.8,2.63,2.16
Israel,0,0,0,0,0,1228,4275795,0.26%,41373364,4657170,481302,10911,30,31,8922.89,21,43,2.4,7.9,6.7,1.2,3.6,2.4,3.3,1.8,2.9,4.8,1.2,4.8,7.113142109,13.08425021,69,9.096375164,54.45,9291000,402.61,30.6,11.73,7.36,33132.32,195.66,72.24,66.13,5.997968351,10.40826452,5.276378459,4.279993909,4.191622502,3.761200116,4.234106505,4,15.354,627.65,364.07,507.84,2.46,2
Italy,1,0,0,0,0,2779,18071634,0.93%,225124190,3725292,299044,167967,31,30,60262.77,37,45.2,5.1,4.9,4.3,5.7,2.3,2.4,2.8,3.7,0.9,5.2,4.5,3.4,7.92984643,12.608346,53,11.00646978,68.68,60367471,205.86,47.9,23.02,16.24,35220.08,228.86,84.15,79.42,5.327196326,10.46937165,5.433110463,4.432600921,4.374750226,3.811097087,3.970291914,4.23,15.131,583.34,287.95,860.72,3.14,2.79
Japan,0,1,0,0,0,246,9191098,0.34%,55835657,441287,72640,31077,19,19,125584.84,5,32.2,1.8,2.6,2.5,3.7,1.9,2.9,0.5,1.8,3,5.7,3.2,2.6,5.505331536,11.19327101,85,11.74073683,42.63,126050796,347.78,48.2,27.05,18.49,39002.22,225.17,82.29,81.16,5.851570096,10.57137385,5.416855672,4.410249594,4.396422515,3.471966453,4.442651256,3.75,12.997,997.96,460.43,1571.65,3.3,2.92
Jordan,0,0,0,1,0,1413,1697271,0.83%,16834239,1690862,170477,14068,86,86,10300.87,43,76.8,5.2,6.9,8.6,6.9,4.8,5.1,6.3,5,6.8,6.1,8.6,6.5,7.253470383,12.04635567,47,9.239983637,52.98,10269022,109.29,23.2,3.81,2.36,8337.49,97.3,46.74,44.09,4.6940049,9.028517491,4.577798989,3.844600329,3.786232999,4.34120464,3.850147602,3.97,14.341,434.28,215.16,110.92,1.34,0.86
Kazakhstan,0,0,0,0,0,732,1306056,1.05%,11575012,620179,69977,13663,62,66,19205.04,82,61.2,4,7.6,8,5.5,3.2,4.2,8.2,4.6,6.7,4.1,2.1,3,6.595780514,11.1559219,8,9.862928024,66.45,18994958,6.68,30.6,6.99,4.63,24055.59,110.13,50.12,48.96,1.899117988,10.08812268,4.701661486,3.91442013,3.891003638,4.11414719,2.079441542,4.2,13.338,78.9,37.61,37.04,1.94,1.53
Kenya,0,0,0,1,0,119,331037,1.71%,3735338,78532,6960,5651,113,112,56215.22,70,89.2,7.4,8.6,8,6.4,7.4,6.6,7.6,8.2,6.3,8.3,7.5,6.9,4.779123493,8.847934753,20,10.93694282,60.08,54985702,87.32,20,2.69,1.53,2993.03,33.4,22.87,16.77,4.469579532,8.004041531,3.5085559,3.129826008,2.819591576,4.49088104,2.995732274,4.1,11.271,218.74,70.17,30.6,0.99,0.43
Kuwait,1,0,0,0,0,618,640857,0.40%,8183096,1977879,154897,2555,58,60,4380.33,71,52.9,3,7.5,4.1,3,4.2,3,7,3.3,7.2,4.6,2.4,3.6,6.426488457,11.95051566,19,8.384879343,60.43,4328553,232.13,33.7,2.35,1.11,65530.54,187.09,79.28,76.68,5.44729756,11.09027157,5.231589784,4.37298589,4.339640918,3.968403339,2.944438979,4.1,14.498,159.31,99.4,21.09,0.85,0.1
